ab	abkhaz
aa	àfar
af	afrikaans
ay	aimara
ak	àkan
sq	albanès
de	alemany
am	amhàric
en	anglès
en-US	anglès (EUA)
en-GB	anglès (GB)
ar	àrab
an	aragonès
hy	armeni
as	assamès
av	àvar
ae	avèstic
az	àzeri
ba	baixkir
bm	bambara
eu	basc
bn	bengalí
be	bielorús
my	birmà
bi	bislama
bs	bosnià
br	bretó
bg	búlgar
ks	caixmiri
ca	català
ch	chamorro
ko	coreà
kw	còrnic
co	cors
cr	cree
hr	croat
da	danès
dv	divehi
dz	dzongka
cu	eslau eclesiàstic
sk	eslovac
sl	eslovè
es	espanyol
eo	esperanto
et	estonià
ee	ewe
fo	feroès
fj	fijià
fi	finès
fr	francès
fy	frisó occidental
ff	ful
gd	gaèlic escocès
gl	gallec
cy	gal·lès
lg	ganda
ka	georgià
el	grec
kl	grenlandès
gn	guaraní
gu	gujarati
ht	haitià
ha	haussa
he	hebreu
hz	herero
hi	hindi
ho	hiri motu
hu	hongarès
io	ido
ig	igbo
id	indonesi
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiak
yo	ioruba
ga	irlandès
is	islandès
it	italià
ja	japonès
jv	javanès
yi	jiddisch
kn	kannada
kr	kanuri
kk	kazakh
km	khmer
ki	kikuiu
ky	kirguís
kv	komi
kg	kongo
kj	kuanyama
ku	kurd
lo	laosià
lv	letó
li	limburguès
ln	lingala
lt	lituà
la	llatí
lu	luba katanga
lb	luxemburguès
mk	macedoni
ms	malai
ml	malaiàlam
mg	malgaix
mt	maltès
gv	manx
mi	maori
mr	marathi
mh	marshallès
mn	mongol
na	nauruà
nv	navaho
nr	ndebele meridional
nd	ndebele septentrional
ng	ndonga
nl	neerlandès
ne	nepalès
no	noruec
nb	noruec bokmål
nn	noruec nynorsk
ny	nyanja
oc	occità
oj	ojibwa
or	oriya
om	oromo
os	osseta
ps	paixtu
pi	pali
pa	panjabi
fa	persa
pl	polonès
pt	portuguès
qu	quítxua
rm	retoromànic
ro	romanès
rw	ruandès
rn	rundi
ru	rus
se	sami septentrional
sm	samoà
sg	sango
sa	sànscrit
sc	sard
sr	serbi
sh	serbocroat
tn	setswana
sn	shona
sd	sindhi
si	singalès
so	somali
st	sotho meridional
sw	suahili
sv	suec
su	sundanès
ss	swazi
tg	tadjik
tl	tagal
ty	tahitià
th	tailandès
ta	tàmil
tt	tàtar
te	telugu
bo	tibetà
ti	tigrinya
to	tongalès
ts	tsonga
tr	turc
tk	turcman
tw	twi
cs	txec
ce	txetxè
cv	txuvaix
uk	ucraïnès
ug	uigur
ur	urdú
uz	uzbek
wa	való
ve	venda
vi	vietnamita
vo	volapük
wo	wòlof
zh	xinès
xh	xosa
ii	yi sichuan
za	zhuang
zu	zulu
