ab	Abhazca
aa	Afar
af	Afrikaanca
ak	Akan
de	Almanca
am	Amharca
an	Aragonca
ar	Arapça
sq	Arnavutça
as	Assamca
av	Avar Dili
ae	Avestçe
ay	Aymara
az	Azerice
bm	Bambara
eu	Baskça
ba	Başkırtça
fy	Batı Frizcesi
bn	Bengalce
be	Beyaz Rusça
bi	Bislama
bs	Boşnakça
br	Bretonca
bg	Bulgarca
my	Burmaca
dz	Butan Dili
jv	Cava Dili
ch	Chamorro
cr	Cree
ce	Çeçence
cs	Çekçe
zh	Çince
cv	Çuvaşça
da	Danca
dv	Divehi
id	Endonezce
hy	Ermenice
eo	Esperanto
et	Estonca
ee	Ewe
fo	Faroe Dili
fa	Farsça
fj	Fiji Dili
fi	Fince
fr	Fransızca
ff	Fulah
cy	Galce
gl	Galiçyaca
lg	Ganda
kl	Grönland Dili
gn	Guarani Dili
gu	Güceratça
nr	Güney Ndebele
st	Güney Sotho
ka	Gürcüce
ht	Haiti Dili
ha	Hausa
hz	Herero
hr	Hırvatça
hi	Hintçe
ho	Hiri Motu
nl	Hollandaca
io	Ido
ia	Interlingua
ie	Interlingue
iu	Inuktitut
ik	Inupiak
ig	İbo Dili
he	İbranice
en	İngilizce
en-US	İngilizce (ABD)
en-GB	İngilizce (BK)
ga	İrlandaca
gd	İskoç Gal Dili
es	İspanyolca
sv	İsveççe
it	İtalyanca
is	İzlandaca
ja	Japonca
kn	Kannada
kr	Kanuri
ca	Katalanca
kk	Kazakça
qu	Keçuvaca
kw	Kernevekçe
ks	Keşmirce
ky	Kırgızca
ki	Kikuyu
cu	Kilise Slavcası
rw	Kinyarwanda
rn	Kirundi
km	Kmerce
kv	Komi
kg	Kongo
ko	Korece
co	Korsikaca
kj	Kuanyama
nd	Kuzey Ndebele
se	Kuzey Sami
ku	Kürtçe
lo	Laoca
la	Latince
pl	Lehçe
lv	Letonca
li	Limburgca
ln	Lingala
lt	Litvanca
lu	Luba-Katanga
lb	Lüksemburgca
hu	Macarca
mk	Makedonca
ml	Malayalam
ms	Malayca
mg	Malgaşça
mt	Maltaca
gv	Manks
mi	Maori Dili
mr	Marathi
mh	Marshall Adaları Dili
mn	Moğolca
na	Nauru Dili
nv	Navaho Dili
ng	Ndonga
ne	Nepalce
no	Norveççe
nb	Norveççe Bokmål
nn	Norveççe Nynorsk
ny	Nyanja
oc	Occitan
oj	Ojibva Dili
or	Oriya Dili
om	Oromo
os	Osetçe
uz	Özbekçe
pi	Pali
pa	Pencapça
ps	Peştuca
pt	Portekizce
rm	Romanşça
ro	Romence
ru	Rusça
sm	Samoa Dili
sg	Sango
sa	Sanskritçe
sc	Sardunya Dili
tn	Setsvana
si	Seylanca
sn	Shona
sh	Sırp-Hırvat Dili
sr	Sırpça
ii	Sichuan Yi
sd	Sindhi
ss	Sisvati
sk	Slovakça
sl	Slovence
so	Somalice
su	Sunda Dili
sw	Svahili
tg	Tacikçe
ty	Tahiti Dili
tl	Takalotça
ta	Tamilce
tt	Tatarca
th	Tayca
te	Telugu Dili
bo	Tibetçe
ti	Tigrinya
to	Tongaca
ts	Tsonga
tr	Türkçe
tk	Türkmence
tw	Tvi
uk	Ukraynaca
ur	Urduca
ug	Uygurca
wa	Valonca
ve	Venda
vi	Vietnamca
vo	Volapük
wo	Volofça
yi	Yidiş
yo	Yorubaca
el	Yunanca
za	Zhuang
xh	Zosa
zu	Zuluca
