ab	abcázio
aa	afar
af	africânder
ay	aimara
ak	akan
sq	albanês
de	alemão
am	amárico
ar	árabe
an	aragonês
hy	arménio
as	assamês
av	avaric
ae	avéstico
az	azeri
bm	bambara
eu	basco
ba	bashkir
bn	bengali
be	bielorrusso
my	birmanês
bi	bislamá
bs	bósnio
br	bretão
bg	búlgaro
kn	canarim
kr	canúri
ca	catalão
ks	caxemira
kk	cazaque
ch	chamorro
ce	checheno
cs	checo
zh	chinês
cv	chuvash
si	cingalês
kg	conguês
ko	coreano
kw	córnico
co	córsico
cr	cree
hr	croata
ku	curdo
da	dinamarquês
dv	divehi
ng	dongo
dz	dzonga
cu	eslavo eclesiástico
sk	eslovaco
sl	esloveno
es	espanhol
eo	esperanto
et	estónio
ee	ewe
fo	feroês
fj	fijiano
fi	finlandês
fr	francês
fy	frísico ocidental
ff	fula
gd	gaélico escocês
gl	galego
cy	galês
lg	ganda
ka	georgiano
el	grego
kl	groenlandês
gn	guarani
gu	guzerate
ht	haitiano
ha	haúça
he	hebraico
hz	herero
hi	hindi
ho	hiri motu
nl	holandês
hu	húngaro
io	ido
ig	igbo
yi	iídiche
id	indonésio
en	inglês
en-US	inglês (EUA)
en-GB	inglês (RU)
ia	interlíngua
ie	interlingue
iu	inuktitut
ik	inupiaque
yo	ioruba
ga	irlandês
is	islandês
it	italiano
ja	japonês
jv	javanês
km	khmer
rw	kinyarwanda
kv	komi
kj	kuanyama
lo	laosiano
la	latim
lv	letão
li	limburguês
ln	lingala
lt	lituano
lu	luba-catanga
lb	luxemburguês
mk	macedónio
ml	malaiala
ms	malaio
mg	malgaxe
mt	maltês
gv	manx
mi	maori
mr	marata
mh	marshalês
mn	mongol
na	nauruano
nv	navajo
nd	ndebele do norte
nr	ndebele do sul
ne	nepali
ny	nianja
no	norueguês
nb	norueguês bokmål
nn	norueguês nynorsk
oj	ojibwa
or	oriya
om	oromo
os	ossético
pi	páli
pa	panjabi
ps	pastó
fa	persa
pl	polaco
pt	português
oc	provençal
qu	quíchua
ki	quicuio
ky	quirguiz
rm	romanche
ro	romeno
rn	rundi
ru	russo
se	sami do norte
sm	samoano
sg	sango
sa	sânscrito
sc	sardo
sr	sérvio
sh	servo-croata
sn	shona
ii	sichuan yi
sd	sindi
so	somali
st	soto do sul
sw	suaíli
sv	sueco
su	sundanês
ss	swati
tl	tagalo
th	tailandês
ty	taitiano
tg	tajique
ta	tâmil
tt	tatar
te	telugu
bo	tibetano
ti	tigrínia
to	tonga
ts	tsonga
tn	tswana
tr	turco
tk	turcomano
tw	twi
uk	ucraniano
ug	uigur
wo	uólofe
ur	urdu
uz	usbeque
wa	valão
ve	venda
vi	vietnamita
vo	volapuque
xh	xosa
za	zhuang
zu	zulu
