ab	abkhazianu
aa	afar
af	afrikaans
ak	akan
sq	albanu
de	alemán
am	amháricu
ar	árabe
an	aragonés
hy	armeniu
as	asamés
av	aváricu
ae	avestanín
ay	aymara
az	azerí
bm	bambara
ba	bashkir
bn	bengalín
be	bielorrusu
my	birmanu
bi	bislama
bs	bosniu
br	bretón
bg	búlgaru
ks	cachemirés
kn	canarés
ca	catalán
ch	chamorro
ce	chechenu
cs	checu
zh	chinu
cv	chuvash
si	cingalés
ko	coreanu
kw	córnicu
co	corsu
cr	cree
hr	croata
ku	curdu
da	danés
dv	divehi
dz	dzongkha
cu	eslávicu eclesiásticu
sk	eslovacu
sl	eslovenu
es	español
eo	esperanto
et	estoniu
ee	ewe
fo	feroés
fi	finlandés
fj	fixanu
fr	francés
fy	frisón occidental
ff	fulah
gd	gaélicu escocés
cy	galés
gl	gallegu
lg	ganda
el	griegu
gn	guaraní
gu	guyaratí
ht	haitianu
ha	ḥausa
he	hebréu
km	ḥemer
hz	herero
hi	hindi
ho	hiri motu
hu	húngaru
io	ido
ig	igbo
id	indonesiu
en	inglés
en-US	inglés d’EE.XX.
en-GB	inglés del R.X.
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiaq
ga	irlandés
is	islandés
it	italianu
kl	kalaallisut
kr	kanuri
kk	kazaquistanín
ki	kikuyu
rw	kinyarwanda
ky	kirguistanín
kv	komi
kg	kongo
kj	kuanyama
lo	laosianu
lv	letón
li	limburgués
ln	lingala
lt	lituanu
la	llatín
lu	luba-katanga
lb	luxemburgués
mk	macedoniu
ml	malayalam
ms	malayu
mg	malgaxe
mt	maltés
gv	manés
mi	maorí
mr	marathi
mh	marshallés
mn	mongol
na	nauru
nv	navajo
nd	ndebele del norte
nr	ndebele del sur
ng	ndonga
nl	neerlandés
ne	nepalés
no	noruegu
nb	noruegu Bokmål
nn	noruegu Nynorsk
ny	nyanja
oc	occitanu
oj	ojibwa
or	oriya
om	oromo
os	oséticu
pi	pali
ps	pashtu
fa	persa
pl	polacu
pt	portugués
pa	punyabí
qu	quechua
rm	romanche
ro	rumanu
rn	rundi
ru	rusu
se	sami del norte
sm	samoanu
sg	sango
sa	sánscritu
sc	sardu
sr	serbiu
sh	serbo-croata
sn	shona
sd	sindhi
so	somalín
su	sondanés
st	sotho del sur
sw	suaḥili
sv	suecu
ss	swati
tl	tagalog
ty	tahitianu
th	tailandés
ta	tamil
tt	tártaru
tg	taxiquistanín
te	telugu
bo	tibetanu
ti	tigrinya
to	tonganu
ts	tsonga
tn	tswana
tk	turcomanu
tr	turcu
tw	twi
uk	ucraín
ug	uigur
ur	urdu
uz	uzbequistanín
wa	valón
eu	vascu
ve	venda
vi	vietnamín
vo	volapük
wo	wolof
ja	xaponés
jv	xavanés
ka	xeorxanu
xh	xhosa
ii	yi de Sichuán
yi	yiddish
yo	yoruba
za	zhuang
zu	zulú
