ab	abkhasisk
aa	afar
af	afrikaans
ak	akan
sq	albansk
am	amharisk
ar	arabisk
an	aragonsk
hy	armensk
as	assamisk
av	avarisk
ae	avestisk
ay	aymara
az	azeri
bm	bambara
ba	basjkirsk
eu	baskisk
bn	bengali
bi	bislama
bs	bosnisk
br	bretonsk
bg	bulgarsk
my	burmesisk
ch	chamorro
cr	cree
da	dansk
dv	divehi
dz	dzongkha
en	engelsk
en-GB	engelsk – Storbritannia
en-US	engelsk – USA
eo	esperanto
et	estisk
ee	ewe
fo	færøysk
fj	fijiansk
fi	finsk
fr	fransk
ff	fulani
gl	galisisk
lg	ganda
mg	gassisk
ka	georgisk
el	gresk
kl	grønlandsk
gn	guarani
gu	gujarati
ht	haitisk
ha	hausa
he	hebraisk
hz	herero
hi	hindi
ho	hiri motu
be	hviterussisk
ig	ibo
io	ido
id	indonesisk
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiak
ga	irsk
is	islandsk
it	italiensk
ja	japansk
jv	javanesisk
yi	jiddisk
yo	joruba
kn	kannada
kr	kanuri
kk	kasakhisk
ks	kasjmiri
ca	katalansk
km	khmer
kg	kikongo
ki	kikuyu
zh	kinesisk
rw	kinyarwanda
ky	kirgisisk
cu	kirkeslavisk
kv	komi
ko	koreansk
kw	kornisk
co	korsikansk
hr	kroatisk
kj	kuanyama
ku	kurdisk
lo	laotisk
la	latin
lv	latvisk
li	limburgisk
ln	lingala
lt	litauisk
lu	luba-katanga
lb	luxemburgsk
mk	makedonsk
ml	malayalam
ms	malayisk
mt	maltesisk
gv	mansk
mi	maori
mr	marathi
mh	marshallesisk
mn	mongolsk
na	nauru
nv	navajo
ng	ndonga
nl	nederlandsk
ne	nepali
nd	nord-ndebele
se	nordsamisk
no	norsk
nb	norsk bokmål
nn	norsk nynorsk
ny	nyanja
oj	ojibwa
oc	oksitansk
or	oriya
om	oromo
os	ossetisk
pi	pali
ps	pashto
fa	persisk
pl	polsk
pt	portugisisk
pa	punjabi
qu	quechua
rm	retoromansk
ro	rumensk
rn	rundi
ru	russisk
sm	samoansk
sg	sango
sa	sanskrit
sc	sardinsk
sr	serbisk
sh	serbokroatisk
tn	setswana
sn	shona
ii	sichuan-yi
sd	sindhi
si	singalesisk
gd	skotsk gælisk
sk	slovakisk
sl	slovensk
so	somali
nr	sør-ndebele
st	sør-sotho
es	spansk
su	sundanesisk
sv	svensk
sw	swahili
ss	swati
tg	tadsjikisk
tl	tagalog
ty	tahitisk
ta	tamil
tt	tatarisk
te	telugu
th	thai
bo	tibetansk
ti	tigrinja
to	tongansk
cs	tsjekkisk
ce	tsjetsjensk
cv	tsjuvasjisk
ts	tsonga
tk	turkmensk
tw	twi
tr	tyrkisk
de	tysk
ug	uigurisk
uk	ukrainsk
hu	ungarsk
ur	urdu
uz	usbekisk
wa	vallonsk
ve	venda
fy	vestfrisisk
vi	vietnamesisk
vo	volapyk
cy	walisisk
wo	wolof
xh	xhosa
za	zhuang
zu	zulu
