ab	abkhaze
aa	afar
af	afrikaans
ak	akan
sq	albanais
de	allemand
am	amharique
en	anglais
en-US	anglais (É.-U.)
en-GB	anglais (R.-U.)
ar	arabe
an	aragonais
hy	arménien
as	assamais
av	avar
ae	avestique
ay	aymara
az	azéri
ba	bachkir
bm	bambara
eu	basque
bn	bengali
bi	bichelamar
be	biélorusse
my	birman
bs	bosniaque
br	breton
bg	bulgare
ca	catalan
ch	chamorro
zh	chinois
si	cinghalais
ko	coréen
kw	cornique
co	corse
cr	cree
ht	créole haïtien
hr	croate
da	danois
dz	dzongkha
es	espagnol
eo	espéranto
et	estonien
ee	éwé
fo	féroïen
fj	fidjien
fi	finnois
fr	français
fy	frison occidental
gd	gaélique écossais
gl	galicien
cy	gallois
lg	ganda
ka	géorgien
el	grec
kl	groenlandais
gn	guarani
gu	gujarati
ha	haoussa
he	hébreu
hz	héréro
hi	hindi
ho	hiri motu
hu	hongrois
io	ido
ig	igbo
id	indonésien
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiaq
ga	irlandais
is	islandais
it	italien
ja	japonais
jv	javanais
kn	kannada
kr	kanouri
ks	kashmiri
kk	kazakh
km	khmer
ki	kikuyu
ky	kirghize
kv	komi
kg	kongo
kj	kuanyama
ku	kurde
lo	lao
la	latin
lv	letton
li	limbourgeois
ln	lingala
lt	lituanien
lu	luba-katanga
lb	luxembourgeois
mk	macédonien
ms	malais
ml	malayalam
dv	maldivien
mg	malgache
mt	maltais
gv	manx
mi	maori
mr	marathe
mh	marshall
mn	mongol
na	nauruan
nv	navaho
nd	ndébélé du Nord
nr	ndébélé du Sud
ng	ndonga
nl	néerlandais
ne	népalais
no	norvégien
nb	norvégien bokmål
nn	norvégien nynorsk
ny	nyanja
oc	occitan
oj	ojibwa
or	oriya
om	oromo
os	ossète
ug	ouïghour
ur	ourdou
uz	ouzbek
ps	pachto
pi	pali
pa	pendjabi
fa	persan
ff	peul
pl	polonais
pt	portugais
qu	quechua
rm	romanche
ro	roumain
rn	roundi
ru	russe
rw	rwanda
se	sami du Nord
sm	samoan
sg	sangho
sa	sanskrit
sc	sarde
sr	serbe
sh	serbo-croate
st	sesotho
sn	shona
sd	sindhi
cu	slavon d’église
sk	slovaque
sl	slovène
so	somali
su	soundanais
sv	suédois
sw	swahili
ss	swati
tg	tadjik
tl	tagalog
ty	tahitien
ta	tamoul
tt	tatar
cs	tchèque
ce	tchétchène
cv	tchouvache
te	télougou
th	thaï
bo	tibétain
ti	tigrigna
to	tonguien
ts	tsonga
tn	tswana
tr	turc
tk	turkmène
tw	twi
uk	ukrainien
ve	venda
vi	vietnamien
vo	volapuk
wa	wallon
wo	wolof
xh	xhosa
ii	yi du Sichuan
yi	yiddish
yo	yoruba
za	zhuang
zu	zoulou
