ab	Abchazisch
om	Afaan Oromo
aa	Afar
af	Afrikaans
ak	Akan
sq	Albanees
am	Amhaars
ar	Arabisch
an	Aragonees
hy	Armeens
as	Assamees
av	Avarisch
ae	Avestisch
ay	Aymara
az	Azeri
bm	Bambara
ba	Basjkiers
eu	Baskisch
bn	Bengaals
my	Birmaans
bi	Bislama
bs	Bosnisch
br	Bretons
bg	Bulgaars
ca	Catalaans
ch	Chamorro
zh	Chinees
kw	Cornish
co	Corsicaans
cr	Cree
da	Deens
dv	Divehi
de	Duits
dz	Dzongkha
en	Engels
en-GB	Engels (VK)
en-US	Engels (VS)
eo	Esperanto
et	Estisch
ee	Ewe
fo	Faeröers
fj	Fijisch
fi	Fins
fr	Frans
fy	Fries
ff	Fulah
gl	Galicisch
ka	Georgisch
ki	Gikuyu
el	Grieks
kl	Groenlands
gn	Guaraní
gu	Gujarati
ht	Haïtiaans Creools
ha	Hausa
he	Hebreeuws
hz	Herero
hi	Hindi
ho	Hiri Motu
hu	Hongaars
io	Ido
ga	Iers
ig	Igbo
is	IJslands
id	Indonesisch
ia	Interlingua
ie	Interlingue
iu	Inuktitut
ik	Inupiaq
it	Italiaans
ja	Japans
jv	Javaans
yi	Jiddisch
kn	Kannada
kr	Kanuri
ks	Kasjmiri
kk	Kazachs
cu	Kerkslavisch
km	Khmer
rw	Kinyarwanda
ky	Kirgizisch
rn	Kirundi
ku	Koerdisch
kv	Komi
kg	Kongo
ko	Koreaans
hr	Kroatisch
kj	Kuanyama
lo	Laotiaans
la	Latijn
lv	Lets
li	Limburgs
ln	Lingala
lt	Litouws
lu	Luba-Katanga
lg	Luganda
lb	Luxemburgs
mk	Macedonisch
mg	Malagassisch
ml	Malayalam
ms	Maleis
mt	Maltees
gv	Manx
mi	Maori
mr	Marathi
mh	Marshallees
mn	Mongools
na	Nauruaans
nv	Navajo
ng	Ndonga
nl	Nederlands
ne	Nepalees
nd	Noord-Ndebele
se	Noord-Samisch
no	Noors
nb	Noors - Bokmål
nn	Noors - Nynorsk
ny	Nyanja
oc	Occitaans
or	Odia
ug	Oeigoers
uk	Oekraïens
uz	Oezbeeks
oj	Ojibwa
os	Ossetisch
pi	Pali
ps	Pasjtoe
fa	Perzisch
pl	Pools
pt	Portugees
pa	Punjabi
qu	Quechua
rm	Reto-Romaans
ro	Roemeens
ru	Russisch
sm	Samoaans
sg	Sango
sa	Sanskriet
sc	Sardijns
gd	Schots-Gaelisch
sr	Servisch
sh	Servo-Kroatisch
sn	Shona
sd	Sindhi
si	Singalees
sl	Sloveens
sk	Slowaaks
su	Soendanees
so	Somalisch
es	Spaans
sw	Swahili
ss	Swazi
tg	Tadzjieks
tl	Tagalog
ty	Tahitiaans
ta	Tamil
tt	Tataars
te	Telugu
th	Thai
bo	Tibetaans
ti	Tigrinya
to	Tongaans
cs	Tsjechisch
ce	Tsjetsjeens
cv	Tsjoevasjisch
ts	Tsonga
tn	Tswana
tk	Turkmeens
tr	Turks
tw	Twi
ur	Urdu
ve	Venda
vi	Vietnamees
vo	Volapük
wa	Waals
cy	Welsh
be	Wit-Russisch
wo	Wolof
xh	Xhosa
ii	Yi
yo	Yoruba
za	Zhuang
zu	Zoeloe
nr	Zuid-Ndbele
st	Zuid-Sotho
sv	Zweeds
