ab	abcaso
aa	afar
af	afrikaans
ak	akan
sq	albanese
am	amarico
ar	arabo
an	aragonese
hy	armeno
as	assamese
av	avaro
ae	avestan
ay	aymara
az	azero
bm	bambara
ba	baschiro
eu	basco
bn	bengalese
be	bielorusso
my	birmano
bi	bislama
bs	bosniaco
br	bretone
bg	bulgaro
ca	catalano
ce	ceceno
cs	ceco
ch	chamorro
ky	chirghiso
tw	ci
zh	cinese
cv	ciuvascio
ko	coreano
kw	cornico
co	corso
cr	cree
hr	croato
ku	curdo
da	danese
dv	divehi
dz	dzongkha
he	ebraico
eo	esperanto
et	estone
ee	ewe
fo	faroese
fj	figiano
fi	finlandese
fr	francese
fy	frisone occidentale
ff	fulah
gd	gaelico scozzese
gl	galiziano
cy	gallese
lg	ganda
ka	georgiano
ja	giapponese
jv	giavanese
el	greco
kl	groenlandese
gn	guaraní
gu	gujarati
ht	haitiano
ha	hausa
hz	herero
hi	hindi
ho	hiri motu
io	ido
ig	igbo
id	indonesiano
en	inglese
en-GB	inglese (GB)
en-US	inglese (USA)
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiak
ga	irlandese
is	islandese
it	italiano
kn	kannada
kr	kanuri
ks	kashmiri
kk	kazako
km	khmer
ki	kikuyu
rw	kinyarwanda
kv	komi
kg	kongo
kj	kuanyama
lo	lao
la	latino
lv	lettone
li	limburgese
ln	lingala
lt	lituano
lu	luba-katanga
lb	lussemburghese
mk	macedone
ml	malayalam
ms	malese
mg	malgascio
mt	maltese
gv	mannese
mi	maori
mr	marathi
mh	marshallese
mn	mongolo
na	nauru
nv	navajo
nd	ndebele del nord
nr	ndebele del sud
ng	ndonga
ne	nepalese
no	norvegese
nb	norvegese bokmål
nn	norvegese nynorsk
ny	nyanja
oc	occitano
oj	ojibwa
nl	olandese
or	oriya
om	oromo
os	ossetico
pi	pali
ps	pashto
fa	persiano
pl	polacco
pt	portoghese
pa	punjabi
qu	quechua
rm	romancio
ro	rumeno
rn	rundi
ru	russo
se	sami del nord
sm	samoano
sg	sango
sa	sanscrito
sc	sardo
sr	serbo
sh	serbo-croato
sn	shona
ii	sichuan yi
sd	sindhi
si	singalese
cu	slavo della Chiesa
sk	slovacco
sl	sloveno
so	somalo
st	sotho del sud
es	spagnolo
su	sundanese
sv	svedese
sw	swahili
ss	swati
tl	tagalog
tg	tagico
ty	taitiano
ta	tamil
tt	tataro
de	tedesco
te	telugu
th	thai
bo	tibetano
ti	tigrino
to	tongano
ts	tsonga
tn	tswana
tr	turco
tk	turcomanno
uk	ucraino
ug	uiguro
hu	ungherese
ur	urdu
uz	usbeco
wa	vallone
ve	venda
vi	vietnamita
vo	volapük
wo	wolof
xh	xhosa
yi	yiddish
yo	yoruba
za	zhuang
zu	zulu
